
          t           x           y           z          Vx          Vy          Vz           m        Vхар 
       100.0     862.962    5700.643   -4025.811       1.901       4.008       6.083        7000    0.000000
       100.1     863.152    5701.044   -4025.203       1.901       4.008       6.084        6999    0.000287
       100.2     863.342    5701.445   -4024.594       1.901       4.007       6.084        6999    0.000575
       100.3     863.532    5701.846   -4023.986       1.901       4.007       6.085        6998    0.000862
       100.4     863.723    5702.246   -4023.377       1.900       4.006       6.085        6998    0.001150
       100.5     863.913    5702.647   -4022.769       1.900       4.006       6.086        6997    0.001437
       100.6     864.103    5703.047   -4022.160       1.900       4.006       6.086        6996    0.001725
       100.7     864.293    5703.448   -4021.552       1.900       4.005       6.087        6996    0.002012
       100.8     864.482    5703.848   -4020.943       1.899       4.005       6.087        6995    0.002299
       100.9     864.672    5704.249   -4020.334       1.899       4.004       6.088        6995    0.002587
       101.0     864.862    5704.649   -4019.725       1.899       4.004       6.088        6994    0.002874
       101.1     865.052    5705.050   -4019.117       1.898       4.003       6.089        6993    0.003162
       101.2     865.242    5705.450   -4018.508       1.898       4.003       6.089        6993    0.003449
       101.3     865.432    5705.850   -4017.899       1.898       4.003       6.090        6992    0.003737
       101.4     865.622    5706.250   -4017.290       1.898       4.002       6.090        6992    0.004024
       101.5     865.811    5706.651   -4016.681       1.897       4.002       6.091        6991    0.004311
       101.6     866.001    5707.051   -4016.071       1.897       4.001       6.092        6990    0.004599
       101.7     866.191    5707.451   -4015.462       1.897       4.001       6.092        6990    0.004886
       101.8     866.380    5707.851   -4014.853       1.897       4.000       6.093        6989    0.005174
       101.9     866.570    5708.251   -4014.244       1.896       4.000       6.093        6989    0.005461
       102.0     866.760    5708.651   -4013.634       1.896       4.000       6.094        6988    0.005748
       102.1     866.949    5709.051   -4013.025       1.896       3.999       6.094        6987    0.006036
       102.2     867.139    5709.451   -4012.416       1.896       3.999       6.095        6987    0.006323
       102.3     867.328    5709.851   -4011.806       1.895       3.998       6.095        6986    0.006611
       102.4     867.518    5710.250   -4011.197       1.895       3.998       6.096        6986    0.006898
       102.5     867.707    5710.650   -4010.587       1.895       3.997       6.096        6985    0.007185
       102.6     867.897    5711.050   -4009.977       1.895       3.997       6.097        6984    0.007473
       102.7     868.086    5711.450   -4009.368       1.894       3.997       6.097        6984    0.007760
       102.8     868.276    5711.849   -4008.758       1.894       3.996       6.098        6983    0.008048
       102.9     868.465    5712.249   -4008.148       1.894       3.996       6.098        6983    0.008335
       103.0     868.655    5712.648   -4007.538       1.894       3.995       6.099        6982    0.008622
       103.1     868.844    5713.048   -4006.928       1.893       3.995       6.099        6981    0.008910
       103.2     869.033    5713.447   -4006.318       1.893       3.994       6.100        6981    0.009197
       103.3     869.222    5713.847   -4005.708       1.893       3.994       6.101        6980    0.009485
       103.4     869.412    5714.246   -4005.098       1.892       3.994       6.101        6980    0.009772
       103.5     869.601    5714.646   -4004.488       1.892       3.993       6.102        6979    0.010059
       103.6     869.790    5715.045   -4003.878       1.892       3.993       6.102        6978    0.010347
       103.7     869.979    5715.444   -4003.268       1.892       3.992       6.103        6978    0.010634
       103.8     870.169    5715.843   -4002.657       1.891       3.992       6.103        6977    0.010921
       103.9     870.358    5716.242   -4002.047       1.891       3.991       6.104        6977    0.011209
       104.0     870.547    5716.642   -4001.437       1.891       3.991       6.104        6976    0.011496
       104.1     870.736    5717.041   -4000.826       1.891       3.991       6.105        6975    0.011784
       104.2     870.925    5717.440   -4000.216       1.890       3.990       6.105        6975    0.012071
       104.3     871.114    5717.839   -3999.605       1.890       3.990       6.106        6974    0.012358
       104.4     871.303    5718.238   -3998.995       1.890       3.989       6.106        6974    0.012646
       104.5     871.492    5718.637   -3998.384       1.890       3.989       6.107        6973    0.012933
       104.6     871.681    5719.035   -3997.773       1.889       3.988       6.107        6972    0.013220
       104.7     871.870    5719.434   -3997.162       1.889       3.988       6.108        6972    0.013508
       104.8     872.059    5719.833   -3996.552       1.889       3.988       6.108        6971    0.013795
       104.9     872.248    5720.232   -3995.941       1.889       3.987       6.109        6971    0.014082
       105.0     872.436    5720.630   -3995.330       1.888       3.987       6.109        6970    0.014370
       105.1     872.625    5721.029   -3994.719       1.888       3.986       6.110        6969    0.014657
       105.2     872.814    5721.428   -3994.108       1.888       3.986       6.111        6969    0.014944
       105.3     873.003    5721.826   -3993.497       1.888       3.985       6.111        6968    0.015232
       105.4     873.192    5722.225   -3992.886       1.887       3.985       6.112        6968    0.015519
       105.5     873.380    5722.623   -3992.274       1.887       3.985       6.112        6967    0.015806
       105.6     873.569    5723.022   -3991.663       1.887       3.984       6.113        6966    0.016094
       105.7     873.758    5723.420   -3991.052       1.886       3.984       6.113        6966    0.016381
       105.8     873.946    5723.818   -3990.441       1.886       3.983       6.114        6965    0.016668
       105.9     874.135    5724.217   -3989.829       1.886       3.983       6.114        6965    0.016956
       106.0     874.323    5724.615   -3989.218       1.886       3.982       6.115        6964    0.017243
       106.1     874.512    5725.013   -3988.606       1.885       3.982       6.115        6963    0.017530
       106.2     874.701    5725.411   -3987.995       1.885       3.982       6.116        6963    0.017818
       106.3     874.889    5725.810   -3987.383       1.885       3.981       6.116        6962    0.018105
       106.4     875.077    5726.208   -3986.771       1.885       3.981       6.117        6962    0.018392
       106.5     875.266    5726.606   -3986.160       1.884       3.980       6.117        6961    0.018680
       106.6     875.454    5727.004   -3985.548       1.884       3.980       6.118        6960    0.018967
       106.7     875.643    5727.402   -3984.936       1.884       3.979       6.118        6960    0.019254
       106.8     875.831    5727.800   -3984.324       1.884       3.979       6.119        6959    0.019542
       106.9     876.019    5728.198   -3983.712       1.883       3.979       6.119        6959    0.019829
       107.0     876.208    5728.595   -3983.100       1.883       3.978       6.120        6958    0.020116
       107.1     876.396    5728.993   -3982.488       1.883       3.978       6.121        6957    0.020403
       107.2     876.584    5729.391   -3981.876       1.883       3.977       6.121        6957    0.020691
       107.3     876.773    5729.789   -3981.264       1.882       3.977       6.122        6956    0.020978
       107.4     876.961    5730.186   -3980.652       1.882       3.976       6.122        6956    0.021265
