
          t        hper         hap 
        0.00     200.000     200.000
        0.10     199.919     200.225
        0.20     199.839     200.450
        0.30     199.758     200.676
        0.40     199.678     200.901
        0.50     199.597     201.126
        0.60     199.517     201.351
        0.70     199.436     201.577
        0.80     199.356     201.802
        0.90     199.275     202.027
        1.00     199.195     202.252
        1.10     199.114     202.477
        1.20     199.034     202.703
        1.30     198.953     202.928
        1.40     198.873     203.153
        1.50     198.792     203.378
        1.60     198.712     203.603
        1.70     198.631     203.829
        1.80     198.551     204.054
        1.90     198.470     204.279
        2.00     198.389     204.504
        2.10     198.309     204.729
        2.20     198.228     204.955
        2.30     198.148     205.180
        2.40     198.067     205.405
        2.50     197.987     205.630
        2.60     197.906     205.855
        2.70     197.826     206.081
        2.80     197.745     206.306
        2.90     197.665     206.531
        3.00     197.584     206.756
        3.10     197.504     206.981
        3.20     197.423     207.206
        3.30     197.343     207.432
        3.40     197.262     207.657
        3.50     197.182     207.882
        3.60     197.101     208.107
        3.70     197.021     208.332
        3.80     196.940     208.558
        3.90     196.860     208.783
        4.00     196.779     209.008
        4.10     196.699     209.233
        4.20     196.618     209.458
        4.30     196.538     209.683
        4.40     196.457     209.909
        4.50     196.377     210.134
        4.60     196.296     210.359
        4.70     196.216     210.584
        4.80     196.135     210.809
        4.90     196.055     211.034
        5.00     195.974     211.260
        5.10     195.894     211.485
        5.20     195.813     211.710
        5.30     195.733     211.935
        5.40     195.652     212.160
        5.50     195.572     212.385
        5.60     195.491     212.611
        5.70     195.411     212.836
        5.80     195.330     213.061
        5.90     195.250     213.286
        6.00     195.169     213.511
        6.10     195.089     213.736
        6.20     195.008     213.962
        6.30     194.928     214.187
        6.40     194.847     214.412
        6.50     194.767     214.637
        6.60     194.686     214.862
        6.70     194.606     215.087
        6.80     194.525     215.312
        6.90     194.445     215.538
        7.00     194.364     215.763
        7.10     194.284     215.988
        7.20     194.203     216.213
        7.30     194.123     216.438
        7.40     194.042     216.663
        7.50     193.962     216.889
        7.60     193.881     217.114
        7.70     193.801     217.339
        7.80     193.720     217.564
        7.90     193.640     217.789
        8.00     193.559     218.014
        8.10     193.479     218.239
        8.20     193.398     218.465
        8.30     193.318     218.690
        8.40     193.237     218.915
        8.50     193.157     219.140
        8.60     193.076     219.365
        8.70     192.996     219.590
        8.80     192.915     219.815
        8.90     192.835     220.041
        9.00     192.754     220.266
        9.10     192.674     220.491
        9.20     192.594     220.716
        9.30     192.513     220.941
        9.40     192.433     221.166
        9.50     192.352     221.391
        9.60     192.272     221.617
        9.70     192.191     221.842
        9.80     192.111     222.067
        9.90     192.030     222.292
       10.00     191.950     222.517
       10.10     191.869     222.742
       10.20     191.789     222.967
       10.30     191.708     223.193
       10.40     191.628     223.418
       10.50     191.547     223.643
       10.60     191.467     223.868
       10.70     191.387     224.093
       10.80     191.306     224.318
       10.90     191.226     224.543
       11.00     191.145     224.769
       11.10     191.065     224.994
       11.20     190.984     225.219
       11.30     190.904     225.444
       11.40     190.823     225.669
       11.50     190.743     225.894
       11.60     190.663     226.119
       11.70     190.582     226.345
       11.80     190.502     226.570
       11.90     190.421     226.795
       12.00     190.341     227.020
       12.10     190.260     227.245
       12.20     190.180     227.470
       12.30     190.099     227.695
       12.40     190.019     227.921
       12.50     189.939     228.146
       12.60     189.858     228.371
       12.70     189.778     228.596
       12.80     189.697     228.821
       12.90     189.617     229.046
       13.00     189.536     229.271
       13.10     189.456     229.496
       13.20     189.376     229.722
       13.30     189.295     229.947
       13.40     189.215     230.172
       13.50     189.134     230.397
       13.60     189.054     230.622
       13.70     188.973     230.847
       13.80     188.893     231.072
       13.90     188.813     231.298
       14.00     188.732     231.523
       14.10     188.652     231.748
       14.20     188.571     231.973
       14.30     188.491     232.198
       14.40     188.410     232.423
       14.50     188.330     232.648
       14.60     188.250     232.874
       14.70     188.169     233.099
       14.80     188.089     233.324
       14.90     188.008     233.549
       15.00     187.928     233.774
       15.10     187.848     233.999
       15.20     187.767     234.224
       15.30     187.687     234.450
       15.40     187.606     234.675
       15.50     187.526     234.900
       15.60     187.446     235.125
       15.70     187.365     235.350
       15.80     187.285     235.575
       15.90     187.204     235.801
       16.00     187.124     236.026
       16.10     187.044     236.251
       16.20     186.963     236.476
       16.30     186.883     236.701
       16.40     186.803     236.926
       16.50     186.722     237.151
       16.60     186.642     237.377
       16.70     186.561     237.602
       16.80     186.481     237.827
       16.90     186.401     238.052
       17.00     186.320     238.277
       17.10     186.240     238.502
       17.20     186.160     238.728
       17.30     186.079     238.953
       17.40     185.999     239.178
       17.50     185.918     239.403
       17.60     185.838     239.628
       17.70     185.758     239.853
       17.80     185.677     240.078
       17.90     185.597     240.304
       18.00     185.517     240.529
       18.10     185.436     240.754
       18.20     185.356     240.979
       18.30     185.276     241.204
       18.40     185.195     241.429
       18.50     185.115     241.655
       18.60     185.034     241.880
       18.70     184.954     242.105
       18.80     184.874     242.330
       18.90     184.793     242.555
       19.00     184.713     242.780
       19.10     184.633     243.006
       19.20     184.552     243.231
       19.30     184.472     243.456
       19.40     184.392     243.681
       19.50     184.311     243.906
       19.60     184.231     244.132
       19.70     184.151     244.357
       19.80     184.070     244.582
       19.90     183.990     244.807
       20.00     183.910     245.032
       20.10     183.829     245.257
       20.20     183.749     245.483
       20.30     183.669     245.708
       20.40     183.588     245.933
       20.50     183.508     246.158
       20.60     183.428     246.383
       20.70     183.347     246.609
       20.80     183.267     246.834
       20.90     183.187     247.059
       21.00     183.107     247.284
       21.10     183.026     247.509
       21.20     182.946     247.735
       21.30     182.866     247.960
       21.40     182.785     248.185
       21.50     182.705     248.410
       21.60     182.625     248.635
       21.70     182.544     248.861
       21.80     182.464     249.086
       21.90     182.384     249.311
       22.00     182.304     249.536
       22.10     182.223     249.761
       22.20     182.143     249.987
       22.30     182.063     250.212
       22.40     181.982     250.437
       22.50     181.902     250.662
       22.60     181.822     250.887
       22.70     181.742     251.113
       22.80     181.661     251.338
       22.90     181.581     251.563
       23.00     181.501     251.788
       23.10     181.420     252.013
       23.20     181.340     252.239
       23.30     181.260     252.464
       23.40     181.180     252.689
       23.50     181.099     252.914
       23.60     181.019     253.140
       23.70     180.939     253.365
       23.80     180.859     253.590
       23.90     180.778     253.815
       24.00     180.698     254.041
       24.10     180.618     254.266
       24.20     180.538     254.491
       24.30     180.457     254.716
       24.40     180.377     254.942
       24.50     180.297     255.167
       24.60     180.217     255.392
       24.70     180.136     255.617
       24.80     180.056     255.842
       24.90     179.976     256.068
       25.00     179.896     256.293
       25.10     179.816     256.518
       25.20     179.735     256.744
       25.30     179.655     256.969
       25.40     179.575     257.194
       25.50     179.495     257.419
       25.60     179.414     257.645
       25.70     179.334     257.870
       25.80     179.254     258.095
       25.90     179.174     258.320
       26.00     179.094     258.546
       26.10     179.013     258.771
       26.20     178.933     258.996
       26.30     178.853     259.221
       26.40     178.773     259.447
       26.50     178.693     259.672
       26.60     178.612     259.897
       26.70     178.532     260.123
       26.80     178.452     260.348
       26.90     178.372     260.573
       27.00     178.292     260.798
       27.10     178.211     261.024
       27.20     178.131     261.249
       27.30     178.051     261.474
       27.40     177.971     261.700
       27.50     177.891     261.925
       27.60     177.810     262.150
       27.70     177.730     262.376
       27.80     177.650     262.601
       27.90     177.570     262.826
       28.00     177.490     263.051
       28.10     177.410     263.277
       28.20     177.329     263.502
       28.30     177.249     263.727
       28.40     177.169     263.953
       28.50     177.089     264.178
       28.60     177.009     264.403
       28.70     176.929     264.629
       28.80     176.849     264.854
       28.90     176.768     265.079
       29.00     176.688     265.305
       29.10     176.608     265.530
       29.20     176.528     265.755
       29.30     176.448     265.981
       29.40     176.368     266.206
       29.50     176.288     266.431
       29.60     176.207     266.657
       29.70     176.127     266.882
       29.80     176.047     267.107
       29.90     175.967     267.333
       30.00     175.887     267.558
       30.10     175.807     267.783
       30.20     175.727     268.009
       30.30     175.647     268.234
       30.40     175.567     268.460
       30.50     175.486     268.685
       30.60     175.406     268.910
       30.70     175.326     269.136
       30.80     175.246     269.361
       30.90     175.166     269.586
       31.00     175.086     269.812
       31.10     175.006     270.037
       31.20     174.926     270.263
       31.30     174.846     270.488
       31.40     174.766     270.713
       31.50     174.686     270.939
       31.60     174.605     271.164
       31.70     174.525     271.390
       31.80     174.445     271.615
       31.90     174.365     271.840
       32.00     174.285     272.066
       32.10     174.205     272.291
       32.20     174.125     272.517
       32.30     174.045     272.742
       32.40     173.965     272.967
       32.50     173.885     273.193
       32.60     173.805     273.418
       32.70     173.725     273.644
       32.80     173.645     273.869
       32.90     173.565     274.095
       33.00     173.485     274.320
       33.10     173.405     274.545
       33.20     173.325     274.771
       33.30     173.245     274.996
       33.40     173.164     275.222
       33.50     173.084     275.447
       33.60     173.004     275.673
       33.70     172.924     275.898
       33.80     172.844     276.124
       33.90     172.764     276.349
       34.00     172.684     276.574
       34.10     172.604     276.800
       34.20     172.524     277.025
       34.30     172.444     277.251
       34.40     172.364     277.476
       34.50     172.284     277.702
       34.60     172.204     277.927
       34.70     172.124     278.153
       34.80     172.044     278.378
       34.90     171.964     278.604
       35.00     171.884     278.829
       35.10     171.804     279.055
       35.20     171.724     279.280
       35.30     171.644     279.506
       35.40     171.564     279.731
       35.50     171.485     279.957
       35.60     171.405     280.182
       35.70     171.325     280.408
       35.80     171.245     280.633
       35.90     171.165     280.859
       36.00     171.085     281.084
       36.10     171.005     281.310
       36.20     170.925     281.536
       36.30     170.845     281.761
       36.40     170.765     281.987
       36.50     170.685     282.212
       36.60     170.605     282.438
       36.70     170.525     282.663
       36.80     170.445     282.889
       36.90     170.365     283.114
       37.00     170.285     283.340
       37.10     170.205     283.565
       37.20     170.125     283.791
       37.30     170.046     284.017
       37.40     169.966     284.242
       37.50     169.886     284.468
       37.60     169.806     284.693
       37.70     169.726     284.919
       37.80     169.646     285.145
       37.90     169.566     285.370
       38.00     169.486     285.596
       38.10     169.406     285.821
       38.20     169.326     286.047
       38.30     169.247     286.272
       38.40     169.167     286.498
       38.50     169.087     286.724
       38.60     169.007     286.949
       38.70     168.927     287.175
       38.80     168.847     287.401
       38.90     168.767     287.626
       39.00     168.687     287.852
       39.10     168.608     288.077
       39.20     168.528     288.303
       39.30     168.448     288.529
       39.40     168.368     288.754
       39.50     168.288     288.980
       39.60     168.208     289.206
       39.70     168.128     289.431
       39.80     168.049     289.657
       39.90     167.969     289.883
