
          t           a           e           i          Om           u           w        teta 
     100.000    7032.012       0.000       1.711       1.322       5.667       5.667       3.668
     100.100    7032.061       0.000       1.711       1.322       5.667       0.604       5.063
     100.200    7032.110       0.000       1.711       1.322       5.667       0.604       5.063
     100.300    7032.158       0.000       1.711       1.322       5.667       0.604       5.063
     100.400    7032.207       0.000       1.711       1.322       5.667       0.604       5.063
     100.500    7032.256       0.000       1.711       1.322       5.667       0.604       5.064
     100.600    7032.305       0.000       1.711       1.322       5.667       0.603       5.064
     100.700    7032.354       0.000       1.711       1.322       5.667       0.603       5.064
     100.800    7032.403       0.000       1.711       1.322       5.668       0.603       5.064
     100.900    7032.452       0.000       1.711       1.322       5.668       0.603       5.065
     101.000    7032.502       0.000       1.711       1.322       5.668       0.603       5.065
     101.100    7032.551       0.000       1.711       1.322       5.668       0.603       5.065
     101.200    7032.600       0.000       1.711       1.322       5.668       0.603       5.065
     101.300    7032.649       0.000       1.711       1.322       5.668       0.603       5.066
     101.400    7032.699       0.000       1.711       1.322       5.668       0.602       5.066
     101.500    7032.748       0.000       1.711       1.322       5.668       0.602       5.066
     101.600    7032.798       0.000       1.711       1.322       5.668       0.602       5.066
     101.700    7032.847       0.000       1.711       1.322       5.669       0.602       5.066
     101.800    7032.897       0.000       1.711       1.322       5.669       0.602       5.067
     101.900    7032.946       0.000       1.711       1.322       5.669       0.602       5.067
     102.000    7032.996       0.000       1.711       1.322       5.669       0.602       5.067
     102.100    7033.046       0.000       1.711       1.322       5.669       0.602       5.067
     102.200    7033.095       0.000       1.711       1.322       5.669       0.601       5.068
     102.300    7033.145       0.000       1.711       1.322       5.669       0.601       5.068
     102.400    7033.195       0.000       1.711       1.322       5.669       0.601       5.068
     102.500    7033.245       0.001       1.711       1.322       5.669       0.601       5.068
     102.600    7033.295       0.001       1.711       1.322       5.669       0.601       5.068
     102.700    7033.345       0.001       1.711       1.322       5.670       0.601       5.069
     102.800    7033.395       0.001       1.711       1.322       5.670       0.601       5.069
     102.900    7033.445       0.001       1.711       1.322       5.670       0.601       5.069
     103.000    7033.495       0.001       1.711       1.322       5.670       0.600       5.069
     103.100    7033.545       0.001       1.711       1.322       5.670       0.600       5.070
     103.200    7033.595       0.001       1.712       1.321       5.670       0.600       5.070
     103.300    7033.645       0.001       1.712       1.321       5.670       0.600       5.070
     103.400    7033.695       0.001       1.712       1.321       5.670       0.600       5.070
     103.500    7033.746       0.001       1.712       1.321       5.670       0.600       5.071
     103.600    7033.796       0.001       1.712       1.321       5.670       0.600       5.071
     103.700    7033.846       0.001       1.712       1.321       5.671       0.600       5.071
     103.800    7033.897       0.001       1.712       1.321       5.671       0.599       5.071
     103.900    7033.947       0.001       1.712       1.321       5.671       0.599       5.071
     104.000    7033.998       0.001       1.712       1.321       5.671       0.599       5.072
     104.100    7034.049       0.001       1.712       1.321       5.671       0.599       5.072
     104.200    7034.099       0.001       1.712       1.321       5.671       0.599       5.072
     104.300    7034.150       0.001       1.712       1.321       5.671       0.599       5.072
     104.400    7034.201       0.001       1.712       1.321       5.671       0.599       5.073
     104.500    7034.251       0.001       1.712       1.321       5.671       0.599       5.073
     104.600    7034.302       0.001       1.712       1.321       5.672       0.599       5.073
     104.700    7034.353       0.001       1.712       1.321       5.672       0.598       5.073
     104.800    7034.404       0.001       1.712       1.321       5.672       0.598       5.073
     104.900    7034.455       0.001       1.712       1.321       5.672       0.598       5.074
     105.000    7034.506       0.001       1.712       1.321       5.672       0.598       5.074
     105.100    7034.557       0.001       1.712       1.321       5.672       0.598       5.074
     105.200    7034.608       0.001       1.712       1.321       5.672       0.598       5.074
     105.300    7034.659       0.001       1.712       1.321       5.672       0.598       5.075
     105.400    7034.710       0.001       1.712       1.321       5.672       0.598       5.075
     105.500    7034.761       0.001       1.712       1.321       5.672       0.597       5.075
     105.600    7034.813       0.001       1.712       1.321       5.673       0.597       5.075
     105.700    7034.864       0.001       1.712       1.321       5.673       0.597       5.076
     105.800    7034.915       0.001       1.712       1.321       5.673       0.597       5.076
     105.900    7034.967       0.001       1.712       1.321       5.673       0.597       5.076
     106.000    7035.018       0.001       1.712       1.321       5.673       0.597       5.076
     106.100    7035.070       0.001       1.712       1.321       5.673       0.597       5.076
     106.200    7035.121       0.001       1.712       1.321       5.673       0.597       5.077
     106.300    7035.173       0.001       1.712       1.321       5.673       0.596       5.077
     106.400    7035.224       0.001       1.712       1.321       5.673       0.596       5.077
     106.500    7035.276       0.001       1.712       1.321       5.674       0.596       5.077
     106.600    7035.328       0.001       1.712       1.321       5.674       0.596       5.078
     106.700    7035.379       0.001       1.712       1.321       5.674       0.596       5.078
     106.800    7035.431       0.001       1.712       1.321       5.674       0.596       5.078
     106.900    7035.483       0.001       1.713       1.321       5.674       0.596       5.078
     107.000    7035.535       0.001       1.713       1.321       5.674       0.596       5.078
     107.100    7035.587       0.001       1.713       1.321       5.674       0.595       5.079
     107.200    7035.639       0.001       1.713       1.321       5.674       0.595       5.079
     107.300    7035.691       0.001       1.713       1.321       5.674       0.595       5.079
     107.400    7035.743       0.001       1.713       1.321       5.674       0.595       5.079
     107.500    7035.795       0.002       1.713       1.321       5.675       0.595       5.080
     107.600    7035.847       0.002       1.713       1.321       5.675       0.595       5.080
     107.700    7035.899       0.002       1.713       1.321       5.675       0.595       5.080
     107.800    7035.952       0.002       1.713       1.321       5.675       0.595       5.080
     107.900    7036.004       0.002       1.713       1.321       5.675       0.594       5.081
     108.000    7036.056       0.002       1.713       1.321       5.675       0.594       5.081
     108.100    7036.109       0.002       1.713       1.321       5.675       0.594       5.081
     108.200    7036.161       0.002       1.713       1.321       5.675       0.594       5.081
     108.300    7036.213       0.002       1.713       1.321       5.675       0.594       5.081
     108.400    7036.266       0.002       1.713       1.320       5.676       0.594       5.082
     108.500    7036.318       0.002       1.713       1.320       5.676       0.594       5.082
     108.600    7036.371       0.002       1.713       1.320       5.676       0.594       5.082
     108.700    7036.424       0.002       1.713       1.320       5.676       0.593       5.082
     108.800    7036.476       0.002       1.713       1.320       5.676       0.593       5.083
     108.900    7036.529       0.002       1.713       1.320       5.676       0.593       5.083
     109.000    7036.582       0.002       1.713       1.320       5.676       0.593       5.083
     109.100    7036.635       0.002       1.713       1.320       5.676       0.593       5.083
     109.200    7036.688       0.002       1.713       1.320       5.676       0.593       5.084
     109.300    7036.740       0.002       1.713       1.320       5.676       0.593       5.084
     109.400    7036.793       0.002       1.713       1.320       5.677       0.593       5.084
     109.500    7036.846       0.002       1.713       1.320       5.677       0.592       5.084
     109.600    7036.899       0.002       1.713       1.320       5.677       0.592       5.084
     109.700    7036.952       0.002       1.713       1.320       5.677       0.592       5.085
     109.800    7037.006       0.002       1.713       1.320       5.677       0.592       5.085
     109.900    7037.059       0.002       1.713       1.320       5.677       0.592       5.085
     110.000    7037.112       0.002       1.713       1.320       5.677       0.592       5.085
     110.100    7037.165       0.002       1.713       1.320       5.677       0.592       5.086
     110.200    7037.219       0.002       1.713       1.320       5.677       0.592       5.086
     110.300    7037.272       0.002       1.713       1.320       5.677       0.591       5.086
     110.400    7037.325       0.002       1.713       1.320       5.678       0.591       5.086
     110.500    7037.379       0.002       1.713       1.320       5.678       0.591       5.086
     110.600    7037.432       0.002       1.714       1.320       5.678       0.591       5.087
     110.700    7037.486       0.002       1.714       1.320       5.678       0.591       5.087
     110.800    7037.539       0.002       1.714       1.320       5.678       0.591       5.087
     110.900    7037.593       0.002       1.714       1.320       5.678       0.591       5.087
     111.000    7037.647       0.002       1.714       1.320       5.678       0.591       5.088
     111.100    7037.700       0.002       1.714       1.320       5.678       0.590       5.088
     111.200    7037.754       0.002       1.714       1.320       5.678       0.590       5.088
     111.300    7037.808       0.002       1.714       1.320       5.679       0.590       5.088
     111.400    7037.862       0.002       1.714       1.320       5.679       0.590       5.089
     111.500    7037.915       0.002       1.714       1.320       5.679       0.590       5.089
     111.600    7037.969       0.002       1.714       1.320       5.679       0.590       5.089
     111.700    7038.023       0.002       1.714       1.320       5.679       0.590       5.089
     111.800    7038.077       0.002       1.714       1.320       5.679       0.590       5.089
     111.900    7038.131       0.002       1.714       1.320       5.679       0.590       5.090
     112.000    7038.185       0.002       1.714       1.320       5.679       0.589       5.090
     112.100    7038.240       0.002       1.714       1.320       5.679       0.589       5.090
     112.200    7038.294       0.002       1.714       1.320       5.679       0.589       5.090
     112.300    7038.348       0.002       1.714       1.320       5.680       0.589       5.091
     112.400    7038.402       0.002       1.714       1.320       5.680       0.589       5.091
     112.500    7038.457       0.003       1.714       1.320       5.680       0.589       5.091
     112.600    7038.511       0.003       1.714       1.320       5.680       0.589       5.091
     112.700    7038.565       0.003       1.714       1.320       5.680       0.589       5.091
     112.800    7038.620       0.003       1.714       1.320       5.680       0.588       5.092
     112.900    7038.674       0.003       1.714       1.320       5.680       0.588       5.092
